,C_values,Training accuracy using RBF Kernel,Testing accuracy using RBF Kernel,Training accuracy using Linear Kernel,Testing accuracy using Linear Kernel,Training accuracy using Polynomial Kernel,Testing accuracy using Polynomial Kernel,Training accuracy using Sigmoid Kernel,Testing accuracy using Sigmoid Kernel
0,0.0001,0.5422659880504537,0.5409836065573771,0.7449657003761895,0.7412980013474062,0.5422659880504537,0.5409836065573771,0.5422659880504537,0.5409836065573771
1,0.001,0.5422659880504537,0.5409836065573771,0.7562513830493472,0.753873792948574,0.5427085638415579,0.5418818773860319,0.6668510732462934,0.6584325174039973
2,0.01,0.7397654348307148,0.7273748035032562,0.7554768754149148,0.7514035481697732,0.709006417348971,0.7015495171794296,0.7526001327727373,0.7496070065124635
3,0.1,0.7590174817437486,0.7471367617336627,0.7545917238327063,0.7532000898270829,0.7602345651692852,0.748484167976645,0.6898650143837132,0.6905456995284078
4,1.0,0.793095817658774,0.7628565012351224,0.7540385040938261,0.7529755221199191,0.7986280150475769,0.7664495845497418,0.6631998229696836,0.6662923871547272
5,10.0,0.8736446116397433,0.7940714125308781,0.7540385040938261,0.7532000898270829,0.8552777163089179,0.791825735459241,0.6763664527550343,0.6680889288120369
