,C_values,Training accuracy using RBF Kernel,Testing accuracy using RBF Kernel,Training accuracy using Linear Kernel,Testing accuracy using Linear Kernel,Training accuracy using Polynomial Kernel,Testing accuracy using Polynomial Kernel,Training accuracy using Sigmoid Kernel,Testing accuracy using Sigmoid Kernel
0,0.0001,0.5335791620900675,0.5435578913839784,0.7381923740781422,0.7384933906673037,0.5335791620900675,0.5435578913839784,0.5335791620900675,0.5435578913839784
1,0.001,0.5430723364192688,0.5507246376811594,0.7477640043935352,0.7464564421086161,0.5373450494272713,0.5470616340181558,0.7296406715832418,0.7292562509953814
2,0.01,0.7337203828652126,0.7378563465519987,0.7490977561587949,0.7407230450708712,0.7287776557351326,0.7238413760152891,0.7388984779538679,0.7383341296384774
3,0.1,0.7578848266122705,0.7534639273769709,0.74752863643496,0.7413600891861761,0.7625137297975836,0.7523491001751871,0.675113761179978,0.6719222806179328
4,1.0,0.796092891887651,0.777512342729734,0.7482347403106857,0.7410415671285236,0.8041738584654009,0.7763975155279503,0.6591087399968618,0.6561554387641344
5,10.0,0.8512474501804488,0.7861124382863514,0.7482347403106857,0.7407230450708712,0.8392436842931116,0.7821309125656952,0.6571473403420681,0.6528109571587832
