,C_values,Training accuracy using RBF Kernel,Testing accuracy using RBF Kernel,Training accuracy using Linear Kernel,Testing accuracy using Linear Kernel,Training accuracy using Polynomial Kernel,Testing accuracy using Polynomial Kernel,Training accuracy using Sigmoid Kernel,Testing accuracy using Sigmoid Kernel
0,0.0001,0.5456653920892622,0.546703995927717,0.7323387450636244,0.7299567319928735,0.5456653920892622,0.546703995927717,0.5456653920892622,0.546703995927717
1,0.001,0.5877891305710524,0.5923899210995164,0.7524603522848367,0.7480274879104097,0.565724315175829,0.563247645711377,0.704506989281013,0.6995418681598371
2,0.01,0.7465680436281578,0.740519216085518,0.7528991412273554,0.7540086536014253,0.7229361248667963,0.7196487655892084,0.7404876825675422,0.7347925680834818
3,0.1,0.7598570801730082,0.7523542886230593,0.7525230364194823,0.7540086536014253,0.7549677176706575,0.747518452532451,0.6741678681125807,0.6731992873504709
4,1.0,0.7814204224910675,0.7625349961822346,0.7520842474769636,0.7546449478238738,0.7846799974926346,0.7662255026724357,0.6606280950291481,0.6600916263680325
5,10.0,0.840531561461794,0.7800967167218121,0.751896195073027,0.7545176889793841,0.8261142104933241,0.7750063629422245,0.6606280950291481,0.6672181216594554
