,C_values,Training accuracy using RBF Kernel,Testing accuracy using RBF Kernel,Training accuracy using Linear Kernel,Testing accuracy using Linear Kernel,Training accuracy using Polynomial Kernel,Testing accuracy using Polynomial Kernel,Training accuracy using Sigmoid Kernel,Testing accuracy using Sigmoid Kernel
0,0.0001,0.5034953796705505,0.5163921056923829,0.7403776617115307,0.7380525199804273,0.5034953796705505,0.5163921056923829,0.5034953796705505,0.5163921056923829
1,0.001,0.6572117316191242,0.6617191322785843,0.7559662515066292,0.7493068015005708,0.6076335877862595,0.6078943076170282,0.7247087183607874,0.724677866579677
2,0.01,0.7474487746082764,0.7370738868047627,0.7560466050622741,0.7470233240906867,0.7435114503816794,0.7396835752732017,0.7478505423865006,0.7447398466808025
3,0.1,0.7666532744073925,0.751590278910455,0.7556448372840499,0.7457184798564671,0.7709923664122137,0.7558310226716686,0.6920048212133387,0.6894470722557494
4,1.0,0.799517878666131,0.7731202087750775,0.755082362394536,0.7447398466808025,0.8081157091201285,0.7734464198336324,0.6749698674166332,0.6672647202740173
5,10.0,0.8554439533949377,0.7897569727613766,0.7546805946163118,0.7445767411515251,0.8453997589393331,0.7876366008807698,0.6731217356368019,0.6656336649812429
