,C_values,Training accuracy using RBF Kernel,Testing accuracy using RBF Kernel,Training accuracy using Linear Kernel,Testing accuracy using Linear Kernel,Training accuracy using Polynomial Kernel,Testing accuracy using Polynomial Kernel,Training accuracy using Sigmoid Kernel,Testing accuracy using Sigmoid Kernel
0,0.0001,0.5076319694721221,0.4876264256509576,0.7447530209879161,0.7460727350979126,0.5076319694721221,0.4876264256509576,0.5076319694721221,0.4876264256509576
1,0.001,0.5443078227687089,0.5274370561652679,0.7609709561161755,0.7622121799010114,0.533495866016536,0.51689261889391,0.7180411278354887,0.718097697439208
2,0.01,0.7487810048759805,0.7579083279535184,0.7638329446682214,0.7632881428878846,0.743375026499894,0.7389713793845492,0.7536569853720585,0.755110824187648
3,0.1,0.7726309094763621,0.7706046911986227,0.7621369514521942,0.7635033354852593,0.773372906508374,0.758123520550893,0.6905872376510493,0.7019582526361093
4,1.0,0.8041127835488658,0.7807187432752314,0.7617129531481874,0.7617817947062621,0.8112147551409794,0.7817947062621046,0.6647233411066356,0.6686034000430385
5,10.0,0.8694085223659105,0.8046051215838175,0.7621369514521942,0.76307295029051,0.8506465974136104,0.7882504841833441,0.6622853508585965,0.6653755110824188
