,C_values,Training accuracy using RBF Kernel,Testing accuracy using RBF Kernel,Training accuracy using Linear Kernel,Testing accuracy using Linear Kernel,Training accuracy using Polynomial Kernel,Testing accuracy using Polynomial Kernel,Training accuracy using Sigmoid Kernel,Testing accuracy using Sigmoid Kernel
0,0.0001,0.5411836074413588,0.5414614121510674,0.7421811809112968,0.7383689107827038,0.5411836074413588,0.5414614121510674,0.5411836074413588,0.5414614121510674
1,0.001,0.5587085467781073,0.5597974822112753,0.7516176867080075,0.7509578544061303,0.561067673227285,0.5606185002736727,0.714006470746832,0.7075807334428024
2,0.01,0.7502696144513346,0.746031746031746,0.7528309517390133,0.752599890530925,0.7179832839040172,0.7145593869731801,0.7449447290374764,0.7412424740010947
3,0.1,0.7617282286330548,0.7545155993431856,0.753639795093017,0.7541050903119869,0.7581558371528714,0.7523262178434592,0.6767322728498247,0.6778872468527641
4,1.0,0.7985980048530601,0.7779146141215106,0.753639795093017,0.753968253968254,0.7977217578862227,0.7729885057471264,0.6610946346724185,0.6599616858237548
5,10.0,0.8633728767861958,0.7965243568691844,0.7535723914801833,0.7541050903119869,0.8410622809382583,0.7802408319649698,0.6662173092477757,0.6626984126984127
