,C-values,Training accuracy (RBF Kernel),Testing accuracy (RBF Kernel),Training accuracy (Linear Kernel),Testing accuracy (Linear Kernel),Training accuracy (Polynomial Kernel),Testing accuracy (Polynomial Kernel),Training accuracy (Sigmoid Kernel),Testing accuracy (Sigmoid Kernel)
0,0.0001,0.5341107090202386,0.5204026115342764,0.7434660233212707,0.7440152339499456,0.5341107090202386,0.5204026115342764,0.5341107090202386,0.5204026115342764
1,0.001,0.5341107090202386,0.5204026115342764,0.7603538399678327,0.7576169749727966,0.5369253451279989,0.5223068552774756,0.6469642139123442,0.6444504896626768
2,0.01,0.7580753250234553,0.7551686615886833,0.7591475673502212,0.7554406964091404,0.7165259348612787,0.7151795429815017,0.7549926283340035,0.750544069640914
3,0.1,0.7777777777777778,0.7731229597388466,0.7596836885136041,0.7540805223068553,0.7730867175981772,0.7513601741022851,0.7115668140999866,0.7102829162132753
4,1.0,0.8194611982308002,0.7886289445048966,0.7594156279319126,0.7532644178454843,0.8265648036456239,0.7867247007616975,0.6706875753920386,0.6705658324265505
5,10.0,0.8855381316177456,0.8046789989118607,0.7596836885136041,0.7538084874863983,0.8671759817718805,0.7978781284004353,0.6663986060849753,0.6651251360174102
